Weir Height /mm,Flow /GPM,Flow /m3s-1,Height /mm,Discharge Co-efficient,Weir Calculation /m3s-1,Pump Deviation /m3s-1
,88.1,0.0055582463557,40,,,
50,42,0.002649788274,68,0.6398,0.001096540882418,-0.004461705473282
50,76.8,0.0048453271296,84,0.6654,0.002960554135628,0.000310765861628
100,55.1,0.0034762698547,126,0.6318,0.001879799277188,-0.002965527852412
100,89.7,0.0056591906709,140,0.643,0.003650671830096,0.000174401975396
150,50.1,0.0031608188697,174,0.6238,0.001646016058009,-0.004013174612891
150,32.5,0.0020504314025,167,0.620066666666667,0.000975401911024,-0.002185416958676
150,91,0.005741207927,190,0.632333333333333,0.003590111177653,0.001539679775153
185,49.6,0.0031292737712,211,0.622243243243243,0.001851364987154,-0.003889842939846
185,31.8,0.0020062682646,203,0.618783783783784,0.001060521594712,-0.002068752176488
200,26.7,0.0016845082599,213,0.6162,0.000648199299243,-0.001358068965357
200,41.2,0.0025993161164,221,0.6194,0.001337740815312,-0.000346767444588
210,23.1,0.0014573835507,222,0.615571428571429,0.000574277971792,-0.002025038144608
210,35.2,0.0022207749344,229,0.618238095238095,0.001149100460092,-0.000308283090608
220,11.2,0.0007066102064,225,0.612818181818182,0.00015376535075,-0.00206700958365
220,23.2,0.0014636925704,233,0.615727272727273,0.000647702023218,-5.89081831824646E-05
